date,name,submitted_by,result_url,course_url
17/11/2024,Les Bacchantes Aix-en-Provence 2024,lionel13480,http://https://chronosports.fr/classification/coursestcyr2024,https://www.kikourou.net/calendrier/course-211800-les_bacchantes_aix-en-provence-2024.html
17/11/2024,10 km Paris Centre 2024,Tanakka,http://https://www.acn-timing.com/?lng=FR#/events/2158633383132918/ctx/20241117_paris/generic/197994_1/home/LIVE1,https://www.kikourou.net/calendrier/course-206906-10_km_paris_centre-2024.html
17/11/2024,10 km Paris Centre 2024,Tanakka,http://https://www.acn-timing.com/?lng=FR#/events/2158633383132918/ctx/20241117_paris/generic/197994_1/home/LIVE1,https://www.kikourou.net/calendrier/course-206906-10_km_paris_centre-2024.html
16/11/2024,La Course de l'Artichaut 2.0 - 10 km 2024,lucbreton,http://https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285683&frmepreuve=10+Km+Route+%2f+10+kms+%2f+TCX,https://www.kikourou.net/calendrier/course-210529-la_course_de_l_artichaut_2.0_-_10_km-2024.html
17/11/2024,Trail des Lions - 28 km 2024,charlie27700,http://https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=282366&frmepreuve=Trail+des+lions+28km+%2f+TCX,https://www.kikourou.net/calendrier/course-200196-trail_des_lions_-_28_km-2024.html
10/11/2024,Trail de Montagnole - 12 km 2024,krikou73,http://https://drive.google.com/file/d/1aOMZgK15GYGmR08sg1vowmUWYyS5RZ9E/view,https://www.kikourou.net/calendrier/course-208216-trail_de_montagnole_-_12_km-2024.html
10/11/2024,Trail de Saint Héand - 12 km 2024,Antipathique,http://https://www.logicourse.fr/images/newsite/manifestations/stheand/stheand2024km12.pdf,https://www.kikourou.net/calendrier/course-208629-trail_de_saint_hn_and_-_12_km-2024.html
10/11/2024,Trail de Saint Héand - 18 km 2024,Antipathique,http://https://www.logicourse.fr/images/newsite/manifestations/stheand/stheand2024km18.pdf,https://www.kikourou.net/calendrier/course-208630-trail_de_saint_hn_and_-_18_km-2024.html
10/11/2024,Trail de Saint Héand - 50 km 2024,Antipathique,http://https://www.logicourse.fr/images/newsite/manifestations/stheand/stheand2024km50.pdf,https://www.kikourou.net/calendrier/course-208632-trail_de_saint_hn_and_-_50_km-2024.html
10/11/2024,Trail de Saint Héand - 30 km 2024,Antipathique,http://https://www.logicourse.fr/images/newsite/manifestations/stheand/stheand2024km30.pdf,https://www.kikourou.net/calendrier/course-208631-trail_de_saint_hn_and_-_30_km-2024.html
10/11/2024,La Madone - 30 km 2024,Reg,http://https://www.dansoft.fr/resultat/20240530.htm,https://www.kikourou.net/calendrier/course-211331-la_madone_-_30_km-2024.html
03/11/2024,Marathon des Alpes Maritime Nice-Cannes 2024,eviala,http://https://www.sport-up.fr/www/resultat/partenaire-20190624004968.htm,https://www.kikourou.net/calendrier/course-208489-marathon_des_alpes_maritime_nice-cannes-2024.html
17/10/2024,Le Grand Raid de la Réunion : La Diagonale des Fous 2024,PhilippeG-640,http://livetrail.net/histo/grandraid-reunion-oxybol_2024/classement.php?course=GRR&cat=scratch,https://www.kikourou.net/calendrier/course-197133-le_grand_raid_de_la_rn_union_la_diagonale_des_fous-2024.html
13/10/2024,Tout  Rennes Court - 10 km 2024,Clementpeschoud,http://https://live.breizhchrono.com/external/live5/classements.jsp?reference=1284761384288-42,https://www.kikourou.net/calendrier/course-209965-tout_rennes_court_-_10_km-2024.html
07/04/2024,Les Foulées Nature - 21.1 km 2024,Cotopoulo,http://https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=280004&frmepreuve=1%2f2+Marathon+TC,https://www.kikourou.net/calendrier/course-202121-les_fouln_es_nature_-_21.1_km-2024.html
07/04/2024,Les Foulées Nature - 21.1 km 2024,Cotopoulo,http://https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=280004,https://www.kikourou.net/calendrier/course-202121-les_fouln_es_nature_-_21.1_km-2024.html
22/09/2024,Semi-Marathon de Marcq-en-Baroeul 2024,Cotopoulo,http://https://www.marcq-en-baroeul.org/images/pdf/sport/classement_general_semi-marathon_label_national.pdf,https://www.kikourou.net/calendrier/course-208927-semi-marathon_de_marcq-en-baroeul-2024.html
27/10/2024,Le Grand Marathon de Saint-Denis 2024,marathon-Yann,http://https://timing4you.com/resultats/G-Live-9.4/g-live.reel.html?f=../2024/LeGrandMarathon/LeGrandMarathon2024.clax,https://www.kikourou.net/calendrier/course-209560-le_grand_marathon_de_saint-denis-2024.html
27/10/2024,La Grande Course du Grand Paris - 10 km 2024,Karine Petrus,http://https://,https://www.kikourou.net/calendrier/course-206310-la_grande_course_du_grand_paris_-_10_km-2024.html
27/10/2024,Marathon de Francfort 2024,Franck6767,http://https://live.frankfurt-marathon.com/2024/?page=2&event=L_HCH3BKLB37C&num_results=1000&pid=list&search%5Bsex%5D=M&search%5Bage_class%5D=%25,https://www.kikourou.net/calendrier/course-209524-marathon_de_francfort-2024.html
25/05/2024,Triathlon Côteaux du Vendomois - M 2024,Karine Petrus,http://https://www.breizhchrono.com/detail-de-la-course/triathlon-des-coteaux-du-vendomois-triathlon-m-individuel-2024-17409/sexe/f/inter/42094/page/2,https://www.kikourou.net/calendrier/course-197411-triathlon_cniteaux_du_vendomois_-_m-2024.html
13/10/2024,20 km de Paris 2024,charlottec87,http://https://https://track.rtrt.me/e/CC-PARIS20K-2024#/map,https://www.kikourou.net/calendrier/course-204000-20_km_de_paris-2024.html
20/10/2024,10 km de Caluire-et-Cuire 2024,laubcqn,http://https://sgchrono.fr/live/10km24/,https://www.kikourou.net/calendrier/course-208443-10_km_de_caluire-et-cuire-2024.html
20/10/2024,Semi-Marathon de la Coulée Verte 2024,olivierg,http://https://results.ipitos.com/results.aspx?CId=68&RId=747&EId=1,https://www.kikourou.net/calendrier/course-209863-semi-marathon_de_la_couln_e_verte-2024.html
05/05/2024,Trail La Voglanaise - 14 km 2024,czecchini,http://https://www.nivoletrevard.fr/wp-content/uploads/2024/05/Resultat-Voglanaise-2024.pdf,https://www.kikourou.net/calendrier/course-193359-trail_la_voglanaise_-_14_km-2024.html
29/09/2024,La Roazhon Run - 10 km 2024,Ju-92,http://https://www.roazhonrun.fr/index2.php?option=com_content&view=article&id=102,https://www.kikourou.net/calendrier/course-209283-la_roazhon_run_-_10_km-2024.html
06/07/2024,Grand Raid du Guillestrois et du Queyras - 45 km 2024,Molletdacier,http://https://,https://www.kikourou.net/calendrier/course-198265-grand_raid_du_guillestrois_et_du_queyras_-_45_km-2024.html
06/07/2024,Grand Raid du Guillestrois et du Queyras - 45 km 2024,Molletdacier,http://https://,https://www.kikourou.net/calendrier/course-198265-grand_raid_du_guillestrois_et_du_queyras_-_45_km-2024.html
12/05/2024,Les Courses de Strasbourg - Semi 2024,Franck6767,http://https://classements.acse-strasbourg.eu/liste_resultats.php?idc=143&ids=1&epreuve=117&nom=&dossard=&groupe=&groupe2=,https://www.kikourou.net/calendrier/course-197219-les_courses_de_strasbourg_-_semi-2024.html
12/10/2024,100 km de la Somme 2024,ArkaLuc,https://www.courses80.fr ou sur http://www.athle.fr   ,https://www.kikourou.net/calendrier/course-203565-100_km_de_la_somme-2024.html
