results_url,competition_date,competition_type,competition_name,location,ligue,department,type,level
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=279600,19-21/01,Cross,Cross ouest france le mans,Le mans,P-L,072,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=290247,03/02,Cross,Sirikwa cross country classics (ken),Eldoret (KEN),,,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=290406,02/03,Cross,Championnats de france de cross-country ffsa,Cholet,P-L,049,,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287754,09-10/03,Cross,Championnats de france de cross-country,Le garric,OCC,081,,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288824,11/11,Cross,Challenge carrington,Louviers,NOR,027,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=280757,11/11,Cross,Fuchey cross,Arnay le duc,BFC,021,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=281504,11/11,Cross,Cross du courrier,Saint barthelemy d'anjou,P-L,049,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=282568,11/11,Cross,52e cross national du 11-novembre,Chartres,CEN,028,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=281491,13-17/11,Cross,Cross le maine libre allonnes sarthe,Allonnes,P-L,072,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=291291,16/11,Cross,Cross volvic elite 2024,Volvic,ARA,063,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287931,17/11,Cross,20ème cross rené arcuset,Montauban,OCC,082,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=284488,17-18/11,Cross,Cross national bayard -13ème édition,Pontcharra,ARA,038,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=292029,23-24/11,Cross,Cross sud ouest,Gujan mestras,N-A,033,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285085,24/11,Cross,Cross international hubert andre,Carmaux,OCC,081,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285172,24/11,Cross,Cross du grand paris sud,Lisses,I-F,091,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288239,01/12,Cross,Cross national des mureaux ile de france,Verneuil sur seine,I-F,078,Meet,Nat
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=301128,05/12,Cross,Championnats de france ff sport u de cross-country,Montauban,OCC,082,Cham,Nat
