competition_name,distance,date,competition_type,location,ligue,department,type,level,Nombre_Coureur
Cross des jeunes challenge cd aveyron j5,"1033.0, 1733.0, 2433.0, 3833.0, 700.0",20/01/24,Cross,Saint affrique,OCC,12.0,Meet,Dép,72
Cross des jeunes de saint michel sport,"1300.0, 1500.0, 1800.0, 2200.0, 3000.0",17/11/24,Cross,Saint michel sur orge,I-F,91.0,Meet,Rég,536
Cross des pres de lyon,"1000.0, 1370.0, 2350.0, 4160.0, 6040.0, 700.0, 7920.0",03/03/24,Cross,La chapelle saint luc,G-E,10.0,Meet,Dép,70
Cross des sources de varces - 29ème édition,"10000.0, 5000.0",11/02/24,Cross,Varces allieres et risset,ARA,38.0,Meet,Dép,171
Cross des terres noires,"1500.0, 1890.0, 2860.0, 3970.0, 8505.0",11/11/24,Cross,La roche sur yon,P-L,85.0,Meet,Rég,241
Cross des uniformes de normandie,"5000.0, 6000.0, 6690.0, 8000.0, 8920.0",12/01/24,Cross,Le havre,NOR,76.0,Meet,Dép,773
Cross du bois de florimond,"1500.0, 2400.0, 3200.0, 4000.0, 9000.0",17/11/24,Cross,Harnes,H-F,62.0,Meet,Rég,597
Cross du comité,"1300.0, 2400.0, 250.0, 2960.0, 3500.0, 8000.0",03/11/24,Cross,Lomme,H-F,59.0,Meet,Rég,893
Cross du courrier,"10200.0, 1471.0, 2232.0, 3030.0, 4298.0, 5300.0, 6400.0, 6800.0, 8581.0",11/11/24,Cross,Saint barthelemy d'anjou,P-L,49.0,Meet,Nat,3718
Cross du grand paris sud,"1000.0, 1210.0, 2060.0, 3220.0, 4000.0, 6000.0, 8950.0",24/11/24,Cross,Lisses,I-F,91.0,Meet,Nat,959
Cross du houssay - spay,"4588.0, 6832.0, 9089.0",28/01/24,Cross,Spay,P-L,72.0,Meet,Dép,240
Cross du moulin des temps perdu,"1490.0, 1500.0, 2533.0, 3060.0, 3920.0, 4780.0",11/02/24,Cross,Persan,I-F,95.0,Meet,Dép,177
Cross du plan d'eau de vieure,"1200.0, 1230.0, 1970.0, 2295.0, 3850.0, 5800.0, 7350.0",03/11/24,Cross,Vieure,ARA,3.0,Meet,Dép,206
Cross du val d'essonne,"1490.0, 2560.0, 3500.0, 6680.0, 8150.0",10/11/24,Cross,Mennecy,I-F,91.0,Meet,Rég,594
Cross du vallon sauvage,8000.0,28/01/24,Cross,Cherbourg en cotentin,NOR,50.0,Meet,Dép,57
Cross départemental,"100.0, 1224.0",20/01/24,Cross,Villeneuve la garenne,I-F,92.0,Cham,Dép,223
Cross départemental cd 40 et cd 64,"1110.0, 2510.0, 3150.0, 3850.0, 4490.0, 5890.0, 6530.0, 700.0, 8570.0",14/01/24,Cross,Capbreton,N-A,40.0,,Dép,896
Cross ea/po,"100.0, 1500.0",07/02/24,Cross,Rueil malmaison,I-F,92.0,Anim,Dép,146
Cross ea/po/be/mi phalempin,"1225.0, 2450.0, 3675.0",11/02/24,Cross,Phalempin,H-F,59.0,Anim,Dép,140
Cross fsgt de rânes,"1000.0, 2400.0, 4000.0, 500.0, 5000.0, 7500.0",19/10/24,Cross,Ranes,NOR,61.0,Meet,Dép,175
Cross fsgt à argentan,"2000.0, 3000.0, 4500.0, 5800.0, 8800.0",10/02/24,Cross,Argentan,NOR,61.0,Meet,Dép,173
Cross international hubert andre,,,Cross,Carmaux,OCC,81.0,Meet,Nat,0
Cross le maine libre allonnes sarthe,"1000.0, 10000.0, 12000.0, 1450.0, 2100.0, 2400.0, 2490.0, 2810.0, 3100.0, 3440.0, 4070.0, 5300.0, 6010.0, 660.0, 7610.0, 840.0, 8420.0, 990.0, 995.0",13/11/24,Cross,Allonnes,P-L,72.0,Meet,Nat,8870
Cross les galopades,890.0,28/01/24,Cross,Orvault,P-L,44.0,Meet,Dép,131
Cross national bayard -13ème édition,"2080.0, 2540.0, 3200.0, 3890.0, 5240.0, 7710.0",17/11/24,Cross,Pontcharra,ARA,38.0,Meet,Nat,383
Cross national des mureaux ile de france,"1060.0, 1500.0, 2550.0, 2990.0, 3270.0, 3710.0, 4055.0, 6260.0, 8500.0",01/12/24,Cross,Verneuil sur seine,I-F,78.0,Meet,Nat,1026
Cross ouest france le mans,"10000.0, 1375.0, 1520.0, 20000.0, 2095.0, 2830.0, 3375.0, 3580.0, 5000.0, 8035.0",19/01/24,Cross,Le mans,P-L,72.0,Meet,Nat,3528
Cross sud ouest,"2000.0, 2400.0, 3300.0, 3900.0, 4300.0, 5500.0, 7700.0, 9300.0",23/11/24,Cross,Gujan mestras,N-A,33.0,Meet,Nat,1113
Cross uasn,"1300.0, 1900.0, 2110.0, 2500.0, 800.0",20/10/24,Cross,Anse bertrand,GUA,971.0,Meet,Dép,98
Cross volvic elite 2024,"10400.0, 1300.0, 2610.0, 3580.0, 4230.0, 4560.0, 5200.0, 5850.0, 7810.0",16/11/24,Cross,Volvic,ARA,63.0,Meet,Nat,978
Cross/trail xxs découverte des castors,11500.0,21/01/24,Cross,Florange,G-E,57.0,Meet,Dép,134
Departementaux de cross,"1230.0, 1500.0, 1840.0, 2395.0, 2925.0, 3020.0, 3080.0, 3770.0, 4175.0, 4880.0, 5800.0, 6175.0, 620.0, 8620.0, 9020.0",13/01/24,Cross,Alencon,NOR,61.0,Cham,Dép,617
Departementaux de cross country et marche nordique 2024,"1400.0, 2600.0, 3100.0, 4000.0, 6200.0, 8500.0",14/01/24,Cross,Saint esteve,OCC,66.0,,Dép,199
Départementaux 13 de cross,"1450.0, 2630.0, 3450.0, 3460.0, 4050.0, 5250.0, 7130.0, 8520.0, 8550.0",14/01/24,Cross,Marignane,PCA,13.0,,Dép,888
Départementaux 79,"1400.0, 1900.0, 2400.0, 3100.0, 3800.0, 6000.0, 700.0, 8400.0",14/01/24,Cross,Saint martin de sanzay,N-A,79.0,,Dép,209
Départementaux cross long,"1200.0, 2875.0, 3634.0, 3680.0, 538.0, 5971.0, 6017.0, 8354.0",13/01/24,Cross,Soues,OCC,65.0,,Dép,227
Départementaux de cross,"1350.0, 2780.0, 3250.0, 3720.0, 4130.0, 6420.0, 6890.0, 8240.0",14/01/24,Cross,Ruelle sur touvre,N-A,16.0,Cham,Dép,316
Départementaux de cross - épreuves annexes : open et mar,"5178.0, 950.0",14/01/24,Cross,Vernon,NOR,27.0,Meet,Dép,193
Départementaux de cross 09,"1200.0, 200.0, 2500.0, 3500.0, 4000.0, 4500.0, 6000.0, 7000.0, 8500.0",14/01/24,Cross,Pamiers,OCC,9.0,,Dép,73
Départementaux de cross 17,"2105.0, 2487.0, 3026.0, 3408.0, 3994.0, 5297.0, 6804.0, 8154.0, 933.0",14/01/24,Cross,Cabariot,N-A,17.0,,Dép,370
Départementaux de cross 21,"1120.0, 2770.0, 3320.0, 3520.0, 4070.0, 4420.0, 5720.0, 6620.0, 8470.0",14/01/24,Cross,Dijon,BFC,21.0,,Dép,443
Départementaux de cross 22,"1350.0, 2550.0, 3150.0, 3750.0, 4350.0, 4950.0, 6150.0, 8550.0",14/01/24,Cross,Langueux,BRE,22.0,,Dép,709
Départementaux de cross 25 et 39 - cross du grillon,"1000.0, 2500.0, 3000.0, 3500.0, 4000.0, 6000.0, 8000.0",14/01/24,Cross,Dannemarie sur crete,BFC,25.0,Cham,Dép,325
Départementaux de cross 27,"1130.0, 2630.0, 2914.0, 3154.0, 3944.0, 4654.0, 6438.0, 9226.0",14/01/24,Cross,Vernon,NOR,27.0,,Dép,645
Départementaux de cross 58,"3000.0, 4000.0, 4400.0, 4800.0, 6200.0, 6600.0, 8000.0",13/01/24,Cross,Nevers,BFC,58.0,,Dép,150
Départementaux de cross 71,"1270.0, 2320.0, 3120.0, 3920.0, 5770.0, 8680.0",14/01/24,Cross,Chalon sur saone,BFC,71.0,,Dép,346
Départementaux de cross cda 45 + sdis 45,"10000.0, 1500.0, 2380.0, 2980.0, 3830.0, 4430.0, 500.0, 5930.0, 6330.0, 8430.0",14/01/24,Cross,Montargis,CEN,45.0,,Dép,727
Départementaux de cross country,"1060.0, 1500.0, 2550.0, 2990.0, 3270.0, 3710.0, 4055.0, 4500.0, 6260.0, 7050.0, 8500.0",14/01/24,Cross,Verneuil sur seine,I-F,78.0,Cham,Dép,1246
Départementaux de cross du pas de calais,"1470.0, 2470.0, 2980.0, 3690.0, 4200.0, 6310.0, 8500.0",28/01/24,Cross,Maisnil les ruitz,H-F,62.0,Meet,Dép,909
Départementaux de cross à riom - 63 -,"1410.0, 2550.0, 3020.0, 3490.0, 4290.0, 5630.0, 6570.0, 7440.0, 8380.0",07/01/24,Cross,Riom,ARA,63.0,,Dép,596
Départementaux de cross-country cd14,"100.0, 1320.0, 2870.0, 3290.0, 3870.0, 4450.0, 6580.0",14/01/24,Cross,Caen,NOR,14.0,,Dép,614
Déptx de cross long et jeunes,"2770.0, 3230.0, 3730.0, 4230.0, 6050.0, 7050.0, 8470.0",14/01/24,Cross,Pre en pail,P-L,53.0,Cham,Dép,316
Festival du cross,"1600.0, 2020.0, 2200.0, 2510.0, 3000.0, 3020.0, 3100.0, 3220.0, 3880.0, 4070.0, 5070.0, 6000.0, 7310.0",20/11/24,Cross,Carhaix plouguer,BRE,29.0,,Rég,3653
Finale départementale de relais cross ea-po,,,Cross,Saint ave,BRE,56.0,Anim,Dép,0
Finlale challenge cross cd aveyron,"1200.0, 1700.0, 2600.0, 3500.0, 750.0, 950.0",03/02/24,Cross,Villefranche de panat,OCC,12.0,Meet,Dép,87
Foulée de chevry 2024,"10000.0, 1500.0, 1700.0, 2500.0, 6000.0",29/09/24,Cross,Chevry,ARA,1.0,Meet,Dép,259
Fuchey cross,"2600.0, 3050.0, 5000.0, 5450.0, 650.0, 7850.0",11/11/24,Cross,Arnay le duc,BFC,21.0,Meet,Nat,1201
Grand cross de massy 2024,"1000.0, 2800.0, 3800.0, 5400.0, 7900.0, 8900.0",01/12/24,Cross,Massy,I-F,91.0,Meet,Rég,571
J1 kid cross zone 1,"1000.0, 1500.0",12/10/24,Cross,Guidel,BRE,56.0,Anim,Dép,115
J1 kid cross zone 2,"1000.0, 1500.0",12/10/24,Cross,Theix-noyalo,BRE,56.0,Anim,Dép,122
J1 kid cross zone 3,"1000.0, 1500.0",12/10/24,Cross,Serent,BRE,56.0,Anim,Dép,82
Kid athlé limoux,500.0,18/05/24,Cross,Limoux,OCC,11.0,Meet,Dép,32
Kid cross,"1100.0, 500.0",10/02/24,Cross,Notre dame de gravenchon,NOR,76.0,Anim,Dép,133
Kid cross - montceau,,,Cross,Montceau les mines,BFC,71.0,Anim,Dép,0
Kid cross anduze,"420.0, 540.0, 760.0",01/11/24,Cross,Anduze,OCC,30.0,Anim,Dép,96
Kid cross de bourg-en-bresse (ea/po),,,Cross,Bourg en bresse,ARA,1.0,Anim,Dép,0
Kid cross de lunel,,,Cross,Lunel,OCC,34.0,Anim,Dép,0
Kid cross de saint gely,,,Cross,Saint clement de riviere,OCC,34.0,Anim,Dép,0
Kid cross des geules noires,"1000.0, 800.0",04/02/24,Cross,La ricamarie,ARA,42.0,Anim,Dép,74
Kid cross du 1er mai,,,Cross,Lons le saunier,BFC,39.0,Anim,Dép,0
Kid cross départemental centre et nord seine-et-marne,300.0,10/03/24,Cross,Pontault combault,I-F,77.0,Meet,Dép,117
Kid cross ea du muret ac,,,Cross,Muret,OCC,31.0,Anim,Dép,0
Kid cross ea po du cac,240.0,23/03/24,Cross,Castelginest,OCC,31.0,Anim,Dép,183
Kid cross eveils,470.0,13/01/24,Cross,Barentin,NOR,76.0,Anim,Dép,23
Kid cross limoux 2024,,,Cross,Limoux,OCC,11.0,Meet,Dép,0
Kid cross pierre bénite,,,Cross,Pierre benite,ARA,69.0,Anim,Dép,0
Kid cross relais tassin,1.0,16/03/24,Cross,Tassin la demi lune,ARA,69.0,Anim,Dép,172
Kid cross zone franche comté,,,Cross,Besancon,BFC,25.0,Anim,Dép,0
Kid s cross de la vallee des lacs,200.0,24/03/24,Cross,Xonrupt longemer,G-E,88.0,Anim,Dép,50
Kid'cross départementaux 73/74,"1015.0, 1410.0",14/01/24,Cross,Albertville,ARA,73.0,Anim,Dép,154
Kid's cross,"1000.0, 1070.0, 1200.0, 1355.0, 2000.0, 500.0, 650.0, 800.0",20/01/24,Cross,Saint nazaire,P-L,44.0,Anim,Dép,1018
Kid's cross district centre 3,,,Cross,Pompey,G-E,54.0,Anim,Dép,0
Kid's cross district centre 4,,,Cross,Gondreville,G-E,54.0,Anim,Dép,0
Kid's trail,,,Cross,Saulxures sur moselotte,G-E,88.0,Anim,Dép,0
Kids athlé eveils / poussins,,,Cross,Franqueville saint pierre,NOR,76.0,Anim,Dép,0
Kids cross,800.0,14/01/24,Cross,Marignane,PCA,13.0,Anim,Dép,145
Kids cross ea/po uscvl,,,Cross,Venarey les laumes,BFC,21.0,Anim,Dép,0
Kids cross eveils,500.0,27/01/24,Cross,Rouen,NOR,76.0,Anim,Dép,63
Kids cross eveils st esteve 2024,500.0,14/01/24,Cross,Saint esteve,OCC,66.0,Anim,Dép,60
Le cross de la source de la charente,"1000.0, 1300.0, 2100.0, 2700.0, 3500.0, 3800.0, 4400.0, 5700.0, 7200.0",02/11/24,Cross,Cheronnac,N-A,87.0,Meet,Dép,241
Le retour des loups,"1250.0, 2500.0, 3750.0, 7800.0, 8600.0",07/01/24,Cross,Bruyeres et montberault,H-F,2.0,Meet,Dép,113
Les foulées de printemps,"1822.0, 2709.0, 935.0",16/03/24,Cross,Charleville mezieres,G-E,8.0,Meet,Dép,210
Les foulées des 2 ponts,"10000.0, 5000.0",15/09/24,Cross,Precy sur oise,H-F,60.0,Meet,Dép,131
Les foulées pédestre du sud,"1500.0, 2800.0, 3200.0, 4000.0, 4500.0, 6000.0",01/12/24,Cross,Saint esprit,MAR,972.0,Meet,Rég,200
Match interdépartemental benjamins,2609.0,18/02/24,Cross,Saint pierre les nemours,I-F,77.0,Meet,Dép,199
Poussinade de cross de l'uacg-,,,Cross,Floirac,N-A,33.0,Anim,Dép,0
Poussinade de cross de l'us bazas,500.0,10/02/24,Cross,Bazas,N-A,33.0,Anim,Dép,80
Sirikwa cross country classics (ken),10000.0,03/02/24,Cross,Eldoret (KEN),,0.0,Meet,Nat,4
Ti gwada challenge olympique 2024 - manche 1,"1100.0, 1500.0",08/05/24,Cross,Sainte rose,GUA,971.0,Anim,Dép,45
Ti gwada challenge olympique 2024 -finale,"1100.0, 1500.0",30/06/24,Cross,Goyave,GUA,971.0,Anim,Dép,74
Ti gwada challenge olympique 2024 -manche 2,"1100.0, 1500.0",02/06/24,Cross,Anse bertrand,GUA,971.0,Anim,Dép,60
Trail de la crémaillère,"3000.0, 9000.0",02/11/24,Cross,Langres,G-E,52.0,Meet,Dép,259
Trail des chioures - 19ème édition,"13000.0, 23000.0, 8000.0",01/09/24,Cross,Saint pancrasse,ARA,38.0,Meet,Dép,107
Trophée de l'avenir 2024 - 2ème journée,200.0,20/01/24,Cross,Vielmur sur agout,OCC,81.0,Anim,Dép,82
Trophée de l'avenir 2024 - 3ème journée,200.0,03/02/24,Cross,Labruguiere,OCC,81.0,Anim,Dép,84
