competition_name,distance,date,competition_type,location,ligue,department,type,level,Nombre_Coureur
Challenge guy petard,"1070.0, 1270.0, 2690.0, 4010.0, 5530.0, 600.0, 6650.0, 7090.0",14/01/24,Cross,Perignat les sarlieve,ARA,63.0,Meet,Dép,406
Challenge hivernal ea-po auch,"120.0, 150.0, 200.0",09/03/24,Cross,Auch,OCC,32.0,Meet,Dép,59
Challenge hivernal ea-po-be condom,"1000.0, 150.0, 200.0",03/02/24,Cross,Condom,OCC,32.0,Meet,Dép,53
Challenge hivernal ea-po-be l'isle-jourdain,"120.0, 150.0, 200.0",21/01/24,Cross,L'isle jourdain,OCC,32.0,Meet,Dép,62
Championnat 71 de cross court,3620.0,25/02/24,Cross,Tournus,BFC,71.0,,Dép,14
Championnat d'allier de cross,"1120.0, 3000.0, 4020.0, 5920.0, 6820.0, 7820.0",14/01/24,Cross,Montlucon,ARA,3.0,,Dép,272
Championnat de bretagne de cross country,"2590.0, 3510.0, 4110.0, 5030.0, 5630.0, 6850.0, 7330.0, 9190.0",28/01/24,Cross,Merdrignac,BRE,22.0,,Rég,2159
Championnat de correze de cross,"1430.0, 2670.0, 3730.0, 4510.0, 6350.0, 8190.0",14/01/24,Cross,Aubazines,N-A,19.0,,Dép,211
Championnat de corse de cross - memorial a. lemoal,"1240.0, 2440.0, 3000.0, 3440.0, 3850.0, 4490.0, 4850.0, 5670.0, 5900.0, 620.0, 9310.0",28/01/24,Cross,Ajaccio,COR,201.0,Meet,Dép,297
Championnat de cross gironde 2024 et pouss'cross ea po,"1000.0, 1116.0, 2411.0, 2946.0, 3171.0, 3706.0, 3823.0, 4048.0, 4583.0, 5460.0, 6755.0, 8392.0",14/01/24,Cross,Merignac,N-A,33.0,,Dép,1333
Championnat de cross guyane,"2000.0, 2500.0, 3000.0, 3500.0, 5000.0, 6500.0, 7000.0, 8500.0",06/01/24,Cross,Matoury,GUY,973.0,,Rég,64
Championnat de la loire de cross-country,"2600.0, 2860.0, 3330.0, 3800.0, 4060.0, 4530.0, 6010.0, 6930.0, 8390.0",14/01/24,Cross,Villars,ARA,42.0,,Dép,367
Championnat de la vienne de cross country,"1000.0, 2800.0, 3170.0, 3600.0, 4370.0, 5570.0, 6800.0, 8340.0",07/01/24,Cross,Poitiers,N-A,86.0,Cham,Dép,280
Championnat de moselle,"2540.0, 2700.0, 3820.0, 6200.0, 6220.0, 800.0, 8620.0",07/01/24,Cross,Yutz,G-E,57.0,,Dép,353
Championnat departemental de cross,"1430.0, 1490.0, 2490.0, 2670.0, 3065.0, 3410.0, 3460.0, 4210.0, 4750.0, 5600.0, 5970.0, 6350.0, 6890.0, 7130.0, 8585.0",07/01/24,Cross,Grand champ,BRE,56.0,Meet,Dép,974
Championnat departemental de cross country,"1080.0, 2560.0, 3350.0, 4935.0, 8090.0",06/01/24,Cross,Saint germain du bel air,OCC,46.0,Meet,Dép,180
Championnat departemental de cross de la somme,"4000.0, 4500.0, 6000.0, 7070.0, 8400.0",28/01/24,Cross,Abbeville,H-F,80.0,,Dép,167
Championnat des ardennes de cross,"1185.0, 1780.0, 2255.0, 3325.0, 4380.0, 5435.0, 555.0, 8035.0",07/01/24,Cross,Vrigne aux bois,G-E,8.0,,Dép,473
Championnat drome ardèche de cross,"1360.0, 2430.0, 2730.0, 3200.0, 3970.0, 5000.0, 6800.0, 8480.0",14/01/24,Cross,Valence,ARA,26.0,,Dép,313
Championnat du finistère de cross-country,"1150.0, 2870.0, 3000.0, 3330.0, 3960.0, 4440.0, 5250.0, 6340.0, 8410.0",14/01/24,Cross,Quimper,BRE,29.0,,Dép,958
Championnat du nord de cross ea/po/be/mi zone métropole/,"1200.0, 2500.0, 3100.0, 3500.0",27/01/24,Cross,Gravelines,H-F,59.0,,Dép,379
Championnat du nord de cross jeunes zone valenciennois e,"1490.0, 2830.0, 3380.0, 3970.0, 4000.0, 4360.0, 5890.0, 6380.0, 8220.0",28/01/24,Cross,Raismes,H-F,59.0,,Dép,983
Championnat du vaucluse de cross,"1360.0, 2430.0, 2730.0, 3200.0, 3970.0, 5000.0, 6800.0, 8480.0",14/01/24,Cross,Valence,ARA,26.0,,Dép,237
Championnat départemental  de cross fsgt,"1125.0, 1675.0, 2075.0, 2625.0, 3025.0, 3525.0, 5375.0, 7625.0",06/01/24,Cross,Bolbec,NOR,76.0,Meet,Dép,65
Championnat départemental de cross,"1420.0, 1500.0, 2450.0, 2480.0, 3390.0, 3450.0, 3900.0, 4040.0, 4590.0, 500.0, 6510.0, 6600.0, 6800.0, 8250.0, 8840.0, 930.0",07/01/24,Cross,Saint pardoux,N-A,87.0,Cham,Dép,570
Championnat départemental de cross (yonne),"1320.0, 2782.0, 3305.0, 4167.0, 5415.0, 6904.0, 8498.0, 953.0",14/01/24,Cross,Venoy,BFC,89.0,,Dép,197
Championnat départemental de cross country cda76,"1450.0, 2690.0, 2950.0, 3440.0, 3930.0, 4830.0, 5850.0, 7090.0, 8480.0",14/01/24,Cross,Forges les eaux,NOR,76.0,,Dép,696
Championnat départemental de cross de l'herault,"1000.0, 2500.0, 3300.0, 3700.0, 4500.0, 6100.0, 7200.0, 8000.0",14/01/24,Cross,Saint mathieu de treviers,OCC,34.0,,Dép,533
Championnat départemental de cross-country,"1370.0, 2830.0, 3200.0, 3920.0, 4290.0, 5750.0, 6410.0, 8160.0",14/01/24,Cross,Brinay,CEN,18.0,,Dép,417
Championnat départemental val de marne,"1000.0, 1360.0, 2500.0, 3030.0, 3600.0, 3700.0, 3920.0, 5310.0, 6400.0, 7800.0, 8120.0",14/01/24,Cross,Champigny sur marne,I-F,94.0,,Dép,1163
Championnats 54 55 de cross,"1260.0, 2660.0, 3000.0, 4080.0, 4560.0, 6680.0, 8800.0",07/01/24,Cross,Dombasle sur meurthe,G-E,54.0,,Dép,474
Championnats 77 de cross tc,"2900.0, 3100.0, 4050.0, 6250.0, 7200.0, 8450.0",14/01/24,Cross,Pontault combault,I-F,77.0,Cham,Dép,972
Championnats alpes de cross-country,"2770.0, 3220.0, 3900.0, 3920.0, 4250.0, 4930.0, 6430.0, 7110.0, 8940.0",28/01/24,Cross,L'isle d'abeau,ARA,38.0,Cham,Rég,886
Championnats aura de relais cross,,,Cross,Echirolles,ARA,38.0,Cham,Rég,0
Championnats aveyron cross country,"2300.0, 3420.0, 3890.0, 4220.0, 5530.0, 6230.0, 8850.0, 910.0",14/01/24,Cross,Villefranche de rouergue,OCC,12.0,,Dép,150
Championnats cea zone est de cross contry,"1575.0, 2985.0, 3585.0, 3795.0, 4395.0, 4995.0, 6150.0, 7305.0, 765.0, 9270.0",14/01/24,Cross,Neuf brisach,G-E,68.0,Meet,Dép,366
Championnats de bretagne de cross ugsel,"1840.0, 2280.0, 3380.0, 4340.0, 5880.0",27/11/24,Cross,Pontivy,BRE,56.0,Cham,Rég,1781
Championnats de france de cross-country,"2230.0, 4000.0, 4460.0, 4500.0, 4730.0, 5460.0, 5960.0, 7690.0, 9190.0, 9920.0",09/03/24,Cross,Le garric,OCC,81.0,,Nat,4132
Championnats de france de cross-country ffsa,"1000.0, 2000.0, 4000.0, 5000.0",02/03/24,Cross,Cholet,P-L,49.0,,Nat,355
Championnats de france ff sport u de cross-country,"4600.0, 7110.0",05/12/24,Cross,Montauban,OCC,82.0,Cham,Nat,349
Championnats de haute-saone de cross,"1500.0, 2650.0, 3150.0, 3650.0, 4650.0, 5650.0, 6650.0, 8650.0",14/01/24,Cross,Vaivre et montoille,BFC,70.0,,Dép,162
Championnats de l'ain de cross jeunes,"1390.0, 2800.0, 3715.0, 865.0",07/01/24,Cross,Saint vulbas,ARA,1.0,,Dép,272
Championnats de l'aisne de cross country,"1200.0, 2700.0, 3200.0, 3800.0, 4200.0, 6000.0, 7000.0, 8200.0",21/01/24,Cross,Villers cotterets,H-F,2.0,,Dép,429
Championnats de l'essonne de cross,"1790.0, 2660.0, 3200.0, 3860.0, 3940.0, 4200.0, 500.0, 5570.0, 6680.0, 8270.0",13/01/24,Cross,Les ulis,I-F,91.0,,Dép,1344
Championnats de l'isère de cross-country,"1400.0, 2550.0, 3050.0, 3550.0, 3780.0, 4550.0, 6350.0, 8500.0",14/01/24,Cross,Saint marcellin,ARA,38.0,,Dép,485
Championnats de la manche de cross,"1200.0, 2500.0, 2900.0, 3400.0, 3900.0, 4300.0, 4800.0, 7500.0, 9200.0",14/01/24,Cross,Sourdeval,NOR,50.0,,Dép,476
Championnats de seine saint denis  de cross court,3990.0,14/01/24,Cross,Stains,I-F,93.0,,Dép,83
Championnats dep de cross long  de seine saint denis,"1000.0, 2860.0, 3260.0, 3990.0, 4720.0, 6270.0, 7000.0, 8550.0",14/01/24,Cross,Stains,I-F,93.0,,Dép,772
Championnats departementaux de cross cd 47,"1400.0, 2600.0, 3100.0, 3650.0, 4150.0, 4850.0, 6400.0, 700.0, 8650.0",14/01/24,Cross,Villeneuve sur lot,N-A,47.0,,Dép,274
Championnats departementaux de cross country,"1130.0, 2620.0, 3220.0, 3870.0, 4710.0, 5960.0, 6500.0, 7700.0, 8270.0, 850.0",14/01/24,Cross,Arnage,P-L,72.0,Cham,Dép,825
Championnats des vosges de cross,"1000.0, 2000.0, 3000.0, 4000.0, 500.0, 6000.0, 8000.0",07/01/24,Cross,Mattaincourt,G-E,88.0,,Dép,460
Championnats drôme ardèche de relais cross,,,Cross,Bourg saint andeol,ARA,7.0,Cham,Dép,0
Championnats du bas-rhin de cross,"1450.0, 2800.0, 3200.0, 3800.0, 4550.0, 6300.0, 7050.0, 8050.0",07/01/24,Cross,Selestat,G-E,67.0,,Dép,495
Championnats du tarn de cross 2024,"1050.0, 2530.0, 3530.0, 6730.0, 8330.0, 900.0",14/01/24,Cross,Albi,OCC,81.0,Meet,Dép,601
Championnats départementaux 04 & 05 de cross,"10043.0, 2297.0, 3640.0, 4852.0, 6862.0",06/01/24,Cross,Les mees,PCA,4.0,,Dép,148
Championnats départementaux 37 cross-country,"1260.0, 2360.0, 2960.0, 3510.0, 4470.0, 5580.0, 6690.0, 8240.0",14/01/24,Cross,Chambray les tours,CEN,37.0,,Dép,607
Championnats départementaux 73/74  de cross-country,"2800.0, 3385.0, 4015.0, 4600.0, 5760.0, 7660.0, 8735.0",14/01/24,Cross,Albertville,ARA,73.0,Cham,Dép,611
Championnats départementaux 75,"2316.0, 3883.0, 4096.0, 4481.0, 5989.0, 7284.0, 8579.0",14/01/24,Cross,Chaville,I-F,92.0,,Dép,758
Championnats départementaux 92 et 75,"2316.0, 3883.0, 4096.0, 4481.0, 5989.0, 7284.0, 8579.0",14/01/24,Cross,Chaville,I-F,92.0,Cham,Dép,879
Championnats départementaux cross,"2530.0, 3100.0, 3590.0, 4560.0, 5790.0, 6590.0, 7820.0, 900.0",07/01/24,Cross,Langres,G-E,52.0,Meet,Dép,88
Championnats départementaux de cross,"1000.0, 2020.0, 2250.0, 2520.0, 3150.0, 3370.0, 3670.0, 3750.0, 4250.0, 4880.0, 6150.0, 6240.0, 7300.0, 8350.0",07/01/24,Cross,Saint laurent sur sevre,P-L,85.0,Cham,Dép,1328
